id,site,water,indpop,Germination_time,Green,Red,Survival_flowering,Flowering_time,Inflorescence_size,Survival_num,Survival_fruit,Fruits,Seeds,Infloresncence_byind,Fruits_byind,Seeds_byind,Fitness
159,madrid,l,i,28.4,30871.238,96.87142858,0.4,126.5,109487,1,0.2,106.8416694,3023.619243,109487,106.8416694,3023.619243,604.7238486
159,madrid,l,p,23.8,44670.718,115.8690476,0.2,133,NA,0,0,NA,NA,NA,NA,NA,0
159,tuebingen,h,i,22.14285714,48845.04,182.5634921,1,160.2857143,454770.5714,1,1,365.9236994,10355.64069,454770.5714,365.9236994,10355.64069,10355.64069
159,tuebingen,h,p,23.6,114888.58,124,0.8,162.75,684570.6667,12,0.6,531.5297414,15042.29168,34958.77254,27.02901004,764.9209841,300.8458337
159,tuebingen,l,i,25.16666667,25191.834,796.6481482,0.833333333,161.4,162976,1,0.333333333,126.7653831,3587.460343,162976,126.7653831,3587.460343,1195.820114
159,tuebingen,l,p,24.4,66637.65,534.3555556,0.6,167,379708,9.8,0.4,289.6656915,8197.539069,18147.95965,13.76908659,389.6651506,109.3005209
1890,madrid,h,i,28.14285714,31107.20714,52.9802184,0.857142857,110.8333333,708720.5,1,0.857142857,625.5039173,17701.76086,708720.5,625.5039173,17701.76086,15172.93788
1890,madrid,h,p,26.6,55272.048,28.65105264,1,106.6,1066384.2,17,1,926.4714307,26219.14149,117425.6733,102.8695415,2911.208025,873.971383
1890,madrid,l,i,19.28571429,24934.07,154.8829932,0.857142857,110.8333333,225984.4,1,0.714285714,202.3042652,5725.210705,225984.4,202.3042652,5725.210705,4089.436218
1890,madrid,l,p,28.75,27544.21825,123.7077381,0.75,115.6666667,124003.5,7.75,0.5,112.1951764,3175.12349,26699.31667,24.67262458,698.2352754,52.91872483
1890,tuebingen,h,i,18.375,47745.6025,165.7181373,1,161.5,514601.5714,1,0.875,415.144505,11748.58949,514601.5714,415.144505,11748.58949,10280.0158
1890,tuebingen,h,p,24.4,80806.518,488.7722222,1,161,761220,12.4,0.8,608.6702236,17225.36733,49418.2744,39.76141943,1125.24817,459.3431287
1890,tuebingen,l,i,19.14285714,22846.9808,472.0357143,0.714285714,165,197693.75,1,0.571428571,159.1603623,4504.238253,197693.75,159.1603623,4504.238253,2573.85043
1890,tuebingen,l,p,19.83333333,66038.52833,485.6342593,0.666666667,165.75,223201.75,15.33333333,0.666666667,167.9654994,4753.423635,10496.49369,7.878836483,222.9710725,105.6316363
1954,madrid,h,i,19.5,64561.99167,5.483333333,1,118.8333333,792955.3333,1,1,712.8343591,20173.21236,792955.3333,712.8343591,20173.21236,20173.21236
1954,madrid,h,p,18,93584.03333,47.25,1,123.6666667,1190475.5,20,0.666666667,1078.4237,30519.39072,39682.51667,35.94745668,1017.313024,678.2086826
1954,madrid,l,i,20.8,26339.5152,966.8809524,0.6,139,111119,1,0.2,103.4560177,2927.8053,111119,103.4560177,2927.8053,585.56106
1954,madrid,l,p,16.75,48185.3125,102.9125,0.25,133,109128,7.5,0.25,93.7297568,2652.552117,3637.6,3.124325227,88.4184039,22.10460098
1954,tuebingen,h,i,17.14285714,42804.85571,72.02240896,0.857142857,165,453618.3333,1,0.857142857,354.4458079,10030.81636,453618.3333,354.4458079,10030.81636,8597.842597
1954,tuebingen,h,p,20.8,121065.312,389.6888889,1,163.4,879251.6667,15.2,0.6,694.8749035,19664.95977,35214.27895,27.84588158,788.0384486,393.2991954
1954,tuebingen,l,i,19.57142857,29951.11143,728.4285714,0.857142857,167,213169.6,1,0.714285714,166.6164583,4715.245771,213169.6,166.6164583,4715.245771,3368.032694
1954,tuebingen,l,p,25,52579.78956,520.5833333,0,NA,97222,0.4,0.2,78.0952564,2210.095755,48611,39.0476282,1105.047878,14.7339717
2317,madrid,h,i,18.71428571,45706.63143,17.49387756,1,109.2857143,991634.1429,1,1,887.6728976,25121.143,991634.1429,887.6728976,25121.143,25121.143
2317,madrid,h,p,25,59947.86,23.15,1,109.8,1043264.4,18,1,902.2679174,25534.18206,286234.2036,240.6574415,6810.605595,851.1394021
2317,madrid,l,i,21.28571429,30479.03714,120.1646259,0.571428571,113.75,117016.5,1,0.285714286,98.78361455,2795.576293,117016.5,98.78361455,2795.576293,798.7360836
2317,madrid,l,p,27.5,49845.07,87.61130953,0.75,123,79534,0.75,0.25,63.5141188,1797.449561,26511.33333,21.17137293,599.1498537,14.97874634
2317,tuebingen,h,i,17.42857143,50337.90571,99.46825396,1,157.5714286,596538.3333,1,0.857142857,476.733922,13491.56999,596538.3333,476.733922,13491.56999,11564.20285
2317,tuebingen,h,p,20.4,125256.78,286.5055555,1,154.2,855496.3333,12.2,0.6,685.5045083,19399.77759,42520.67572,34.10507529,965.1736306,387.9955517
2317,tuebingen,l,i,18.42857143,31044.82571,861.6349206,1,162.5714286,161453.3333,1,0.428571429,133.2233452,3770.220669,161453.3333,133.2233452,3770.220669,1615.808858
2317,tuebingen,l,p,22,77566.928,247.8277778,0.2,165,375974,3.4,0.2,285.562295,8081.41295,22116.11765,16.79778206,475.3772324,53.87608633
265,madrid,h,i,23.66666667,51729.42167,42.3031746,1,100.1666667,764743.2,1,0.833333333,664.2044688,18796.98647,764743.2,664.2044688,18796.98647,15664.15539
265,madrid,h,p,21.75,100206.4975,33.59345238,1,98.5,1150570.5,18.5,1,1022.100551,28925.44559,71306.59618,63.60357098,1799.981059,964.1815195
265,madrid,l,i,25,38437.704,25.66285714,0.8,112,144806,1,0.4,122.6398474,3470.707679,144806,122.6398474,3470.707679,1388.283071
265,madrid,l,p,22.75,48269.19,21.3125,0.25,113,NA,0,0,NA,NA,NA,NA,NA,0
265,tuebingen,h,i,21.42857143,56633.61,77.24603176,1,157.1428571,496258.8571,1,1,403.7900979,11427.25977,496258.8571,403.7900979,11427.25977,11427.25977
265,tuebingen,h,p,21,115551.2275,720.3055556,1,155,737252.6667,17.25,0.75,595.0898607,16841.04306,35326.13704,28.48719877,806.1877252,421.0260764
265,tuebingen,l,i,21.71428571,32880.77014,733.7698413,0.857142857,159.1666667,158963,1,0.285714286,126.048554,3567.174078,158963,126.048554,3567.174078,1019.192594
265,tuebingen,l,p,23,68017.354,495.6111111,0.6,168,183192.3333,4,0.6,150.3355055,4254.494808,89589.07407,73.44542177,2078.505437,85.08989615
403,madrid,h,i,18.85714286,57655.93143,34.00918367,1,105.4285714,937592.4286,1,1,839.7058582,23763.67579,937592.4286,839.7058582,23763.67579,23763.67579
403,madrid,h,p,26,73265.50667,156.531746,1,102.3333333,1131668.333,11.33333333,1,987.9730828,27959.63824,581744.4,521.4423134,14756.81747,931.9879415
403,madrid,l,i,21,29366.58,70.49087302,0.833333333,105.2,295095,1,0.5,274.1955685,7759.73459,295095,274.1955685,7759.73459,3879.867295
403,madrid,l,p,16,51648.8125,232.6184524,1,111.75,153649,3.5,0.5,119.6034555,3384.777789,39338.63636,30.93567423,875.4795806,56.41296315
403,tuebingen,h,i,20.71428571,54397.19157,271.4761905,0.857142857,159.6666667,297066.5,1,0.857142857,242.1285198,6852.237109,297066.5,242.1285198,6852.237109,5873.346093
403,tuebingen,h,p,21.71428571,129163.0429,502.5992064,1,159.1428571,676678.5,16.57142857,0.857142857,540.4047471,15293.45434,42014.19771,34.105225,965.1778675,436.9558384
403,tuebingen,l,i,21.14285714,31203.18571,634.4834267,0.714285714,157.6,280587.4,1,0.714285714,212.8481718,6023.603263,280587.4,212.8481718,6023.603263,4302.57376
403,tuebingen,l,p,20,81923.926,465.5888889,0.8,166.5,389848,2.2,0.2,279.3782616,7906.404803,35440.72727,25.39802378,718.764073,52.70936535
4958,madrid,h,i,23.28571429,42986.38,97.91360544,1,124,717836.8571,1,1,636.919231,18024.81424,717836.8571,636.919231,18024.81424,18024.81424
4958,madrid,h,p,24.2,66478.886,9.26619048,1,126.6,947718.2,15.6,1,825.1950691,23353.02046,220312.099,184.6227254,5224.823128,778.4340152
4958,madrid,l,i,25.71428571,20014.02271,1012.727891,0.571428571,135,80400,1,0.142857143,76.7523859,2172.092522,80400,76.7523859,2172.092522,310.2989317
4958,madrid,l,p,15.6,31845.406,23.61476192,0.2,135,NA,0,0,NA,NA,NA,NA,NA,0
4958,tuebingen,h,i,19.14285714,47031.16857,98.54715219,1,166.4285714,409387.2,1,0.714285714,330.4208435,9350.909871,409387.2,330.4208435,9350.909871,6679.221336
4958,tuebingen,h,p,21,122613.78,113.4888889,1,156.2,686126.5,8.2,0.4,549.6184105,15554.20102,48789.01364,39.33933482,1113.303175,207.3893469
4958,tuebingen,l,i,22.71428571,21034.60429,609.7619048,0.857142857,166.6666667,204168.6667,1,0.857142857,161.4202047,4568.191793,204168.6667,161.4202047,4568.191793,3915.592965
4958,tuebingen,l,p,23,58649.39,350.2111111,0.2,167,180675,2.6,0.4,138.5078671,3919.77264,53120.86364,42.38325921,1199.446236,52.26363519
5151,madrid,h,i,21.57142857,71858.37286,117.8336735,1,120,837947.4286,1,1,737.4210087,20869.01455,837947.4286,737.4210087,20869.01455,20869.01455
5151,madrid,h,p,16.66666667,88138.63333,43.25396827,1,126,1073881.5,11.66666667,0.666666667,965.2534957,27316.67393,64840.11189,58.30357186,1649.991083,607.0371984
5151,madrid,l,i,22,34950.17333,256.7178572,0.333333333,126.5,87382,1,0.333333333,80.1437886,2268.069218,87382,80.1437886,2268.069218,756.0230725
5151,madrid,l,p,19.33333333,38931.63667,81.49126983,0,NA,NA,0,0,NA,NA,NA,NA,NA,0
5151,tuebingen,h,i,19.57142857,57871.34,92.97619047,1,164.8571429,460656.2857,1,1,369.455771,10455.59832,460656.2857,369.455771,10455.59832,10455.59832
5151,tuebingen,h,p,20.2,127544.84,183.8444444,1,165.6,947799.6667,13.6,0.6,755.2846831,21374.55653,43795.32186,34.89954917,987.6572415,427.4911306
5151,tuebingen,l,i,15.57142857,46704.69143,352.5873016,0.714285714,166.6,296407.6667,1,0.428571429,245.2146229,6939.573828,296407.6667,245.2146229,6939.573828,2974.103069
5151,tuebingen,l,p,21.6,79264.034,274.7722222,0,NA,126300,2.8,0.2,86.1783906,2438.848455,9021.428571,6.155599329,174.2034611,16.2589897
5165,madrid,h,i,18.28571429,54828.05714,19.70578231,1,116.8571429,868085.8571,1,1,758.3798822,21462.15067,868085.8571,758.3798822,21462.15067,21462.15067
5165,madrid,h,p,22.25,80966.7125,11.38333333,1,117.25,1013713.75,19.25,1,868.7492489,24585.60374,304550.1156,249.539713,7061.973877,819.5201248
5165,madrid,l,i,20.83333333,35036.44667,189.4900794,0.166666667,123,208010,1,0.166666667,202.1556275,5721.00426,208010,202.1556275,5721.00426,953.50071
5165,madrid,l,p,23.4,64040.7,62.88142858,0.4,135,261509,6.4,0.4,238.8511696,6759.488101,81345.23333,74.34626093,2103.999185,90.12650801
5165,tuebingen,h,i,17.57142857,56793.42571,95.52707749,1,165.4285714,442554.8571,1,1,347.7458321,9841.207049,442554.8571,347.7458321,9841.207049,9841.207049
5165,tuebingen,h,p,25,110527.582,631.4333333,1,164.6,811056.25,20.4,0.8,648.9110712,18364.18332,34933.51834,28.06299754,794.1828305,489.7115551
